-32, 24, 20, 17
2, -18, 32, -17
-34, 32, -24, 3
6, -5, 14, -14
-1, 8, -28, 6
2, 12, 10, 11
41, 21, -17, -38
-16, 17, -8, 29
31, -26, 1, -29
-21, 8, -19, 7
0, -5, 24, -14
-5, -14, -7, 24
-29, 7, 0, -11
-4, 14, -11, 4
-6, 10, 19, 24
2, -16, 3, 10
8, -32, 2, 12
-18, 10, -15, -19
-9, -32, 17, 37
6, -23, -2, -11
-7, 13, -9, 3
-7, -9, -10, 9
20, 20, -15, 11
22, -35, 10, 4
7, -4, 18, -13
13, -4, 21, 4
6, 20, -3, -21
-10, -34, 7, 10
16, -9, -15, 24
-7, 16, 30, -25
0, -20, 17, 27
14, 34, 0, -35
-3, -7, -35, 3
9, 2, 8, 10
-7, -25, 22, 0
15, 5, -12, 8
28, 1, -13, -13
-30, 24, -15, -8
-10, 20, 13, 10
-32, 2, -5, -7
29, 10, -7, 10
22, -11, 8, -10
-2, 3, 26, -22
14, 11, -25, 11
8, -5, 45, -5
-26, 22, -20, -16
26, -21, 3, -27
1, 20, -9, 5
2, -15, 11, -5
22, 1, 13, 0
-8, -14, 16, -29
12, -1, 28, 28
-3, 5, -26, -39
-15, 22, 14, 12
-20, 2, -42, 4
-21, -6, 18, -22
11, 7, -16, 24
-8, -9, 30, -10
0, -6, 16, 10
19, 13, 10, 0
-17, -21, 13, -14
6, 10, 4, 5
-11, 2, -31, 16
-9, -16, -2, 12
2, 6, -8, 0
3, 1, 20, -32
-1, -14, 5, 13
-24, -4, -19, 2
5, 16, -2, -11
-15, -18, 7, -18
-12, 24, 0, -24
14, -1, 10, 15
3, -3, 2, 4
3, 11, -12, -18
14, 18, 15, 3
-32, 11, -18, -28
10, -12, 20, 9
-5, -22, -29, 20
6, 13, 4, 8
-15, -24, 1, 8
-5, 2, 1, -3
7, 15, -10, 14
-19, -9, -15, 16
20, 29, -7, -14
8, -16, -18, -6
2, -11, -26, -2
14, 22, 10, -6
12, -25, 9, -10
-12, -4, 3, -7
15, 8, -10, 4
-22, -4, 6, -4
7, 5, 23, 11
6, 24, -17, 6
1, -10, 20, 6
-8, 13, -2, -18
-25, -1, 0, 4
0, 12, 13, 4
18, -3, -6, 5
2, 30, -20, 6
7, 2, 11, 1
12, 32, 8, -10
2, 16, 5, 6
-8, -11, -30, 6
15, 44, 12, -12
27, -22, -16, -2
7, 20, -13, -11
-5, 3, 9, 21
-9, -4, -2, -24
-21, 4, -6, 13
